epoch,episode,reward
0,0,-2.396121831751586
0,1,-1.1247160208328826
0,2,-2.896016246206793
0,3,-1.8448674782470462
0,4,-1.8178971120369112
0,5,-3.235188266008992
0,6,-0.0696276360406593
0,7,-2.0175695975621664
0,8,-1.8003651064910655
0,9,-1.8879601127359336
1,0,-2.092214406512415
1,1,-0.3022353589899503
1,2,-0.4698956376894592
1,3,-2.546048781959924
1,4,-2.7652430928427787
1,5,-1.9057265671388977
1,6,-0.16862041186067722
1,7,-6.385156060722783
1,8,-0.5451181699625375
1,9,-0.9252432956890675
2,0,-2.270829320656776
2,1,-3.797396488150423
2,2,-0.284253944874503
2,3,-1.3131946874545575
2,4,-3.2294677242941954
2,5,-0.6580869990907666
2,6,-1.391464030575067
2,7,-0.2735579631122874
2,8,-1.1658405457930587
2,9,-0.28926253811359603
3,0,-3.2214009871223817
3,1,-0.7837726534837566
3,2,-1.8695583313281154
3,3,-1.508223371655162
3,4,-1.822614755860152
3,5,-1.426179932612892
3,6,-0.31922630143482456
3,7,-0.8550229813143798
3,8,-0.482691901030287
3,9,-2.475349197278361
4,0,-1.1285676765388175
4,1,-1.4006138565087394
4,2,-0.4113857812475038
4,3,-3.718402508661005
4,4,-0.6672104056562964
4,5,-0.43179826211345657
4,6,-1.8911731167133043
4,7,-0.052285312700449026
4,8,-3.6983122395738333
4,9,-1.401175215326278
5,0,-0.2327129648049199
5,1,-0.16869681283681795
5,2,-0.6944700664497762
5,3,-0.16883335551431425
5,4,-2.4029580399401236
5,5,-0.41423833213565275
5,6,-3.974929751116581
5,7,-1.9947637218557321
5,8,-2.320691775577339
5,9,-0.2451397649545817
6,0,-1.247342778728228
6,1,-0.26394188886886183
6,2,-1.4162531918746797
6,3,-2.648754476505391
6,4,-3.579750330032389
6,5,-1.4015418947846316
6,6,-0.4493007487903787
6,7,-1.941742869837831
6,8,-0.4431589578891223
6,9,-0.2537880485580497
7,0,-1.3740962417780644
7,1,-7.299132519201565
7,2,-1.670997317336852
7,3,-3.571177316098316
7,4,-1.4937538680834417
7,5,-0.07853932881543611
7,6,-2.1718048788817192
7,7,-1.987571744733536
7,8,-1.8819032672510112
7,9,-1.829703589899913
8,0,-0.48704712825213503
8,1,-0.7582369508391433
8,2,-1.4215513535230904
8,3,-0.3933204112249328
8,4,-1.5578031762815485
8,5,-2.954682454782266
8,6,-3.4819061519890204
8,7,-1.56245671252049
8,8,-3.6916715352633402
8,9,-0.29811400792213866
9,0,-0.7306506639732855
9,1,-2.0251597877281005
9,2,-0.1399485475116479
9,3,-0.781299043383306
9,4,-0.7716055622446794
9,5,-0.604361724960318
9,6,-0.9976345900669805
9,7,-1.338290239823937
9,8,-0.14987390976905038
9,9,-1.2510013552429406
10,0,-0.17766895150475662
10,1,-1.3970736949471776
10,2,-0.5818915491726415
10,3,-1.5392925980390124
10,4,-0.2673003055527262
10,5,-3.3891541599233337
10,6,-4.798708362770834
10,7,-2.33953609954248
10,8,-0.8348892838157687
10,9,-0.8807210314043707
11,0,-3.4011089334509172
11,1,-0.6955959402007365
11,2,-1.4543887759278686
11,3,-1.2432978652723086
11,4,-0.3833536051333726
11,5,-1.6640349267011925
11,6,-0.19105803735660204
11,7,-1.3030526441481152
11,8,-0.5583628064779697
11,9,-2.035508906288649
12,0,-0.10156623283954627
12,1,-0.9111043933229744
12,2,-2.1173367238822363
12,3,-1.1271592674126978
12,4,-4.7175635895016566
12,5,-1.0515004317250363
12,6,-2.893893901647615
12,7,-0.5493274651953787
12,8,-1.1522212278200143
12,9,-0.25897122458321786
13,0,-3.7392656892372127
13,1,-0.10957468370923067
13,2,-0.32366556795809415
13,3,-1.200826686485919
13,4,-0.7489227017556094
13,5,-0.054015781246854994
13,6,-0.8703387462667742
13,7,-0.6443743803726614
13,8,-1.9577316507796771
13,9,-0.271366098355196
14,0,-3.3722617956335386
14,1,-0.41907064327432686
14,2,-2.7419219603089267
14,3,-1.2595759455129951
14,4,-0.20630871036054896
14,5,-0.2409972398881828
14,6,-0.9079823662076651
14,7,-1.1723860770648706
14,8,-1.7552529018940668
14,9,-1.628810020928848
15,0,-0.18643356866580624
15,1,-1.4124208022135583
15,2,-1.2290041543413812
15,3,-0.6229984046367715
15,4,-1.4757527784570714
15,5,-0.37449723801003765
15,6,-0.02048270666742435
15,7,-0.1829419685244612
15,8,-0.22430991086427174
15,9,-0.41002590712823134
16,0,-1.3368580173833216
16,1,-2.055805078263287
16,2,-0.9851548208209668
16,3,-0.6686405048940135
16,4,-0.5024041946873102
16,5,-1.7665998040174171
16,6,-1.8313436679816006
16,7,-1.321083293841992
16,8,-0.7361991925202522
16,9,-4.036026303657926
17,0,-1.4703721639832863
17,1,-1.2236276101838808
17,2,-0.8429660747959677
17,3,-2.339622035580914
17,4,-0.41101392374233003
17,5,-1.6763080401754022
17,6,-0.6703375011645882
17,7,-1.7627006861030727
17,8,-1.059044565843586
17,9,-0.22540868026226515
18,0,-0.11339918059975795
18,1,-1.7793865065345846
18,2,-1.6436982191045204
18,3,-3.3466364476954102
18,4,-0.3398962814955631
18,5,-1.158852286479078
18,6,-0.25670703357136665
18,7,-1.1880448511629957
18,8,-0.8878445681922423
18,9,-0.9863867950368425
19,0,-0.49622748864901906
19,1,-1.230412788122307
19,2,-0.3569960092085712
19,3,-4.230634850946025
19,4,-2.053934632003583
19,5,-3.2758758486632407
19,6,-0.19506507140895343
19,7,-0.2883119372608357
19,8,-0.17796326636574394
19,9,-1.434244461182258
20,0,-0.2363103724358802
20,1,-2.4369957272093656
20,2,-0.15763436012124032
20,3,-1.7976966304832367
20,4,-0.057675142672357876
20,5,-1.1082607287832458
20,6,-2.3158375250270553
20,7,-1.0276679712852548
20,8,-0.554610243584904
20,9,-4.340602349845272
21,0,-0.38119095112148665
21,1,-1.102510424630441
21,2,-3.5561472895668844
21,3,-0.1482488828073022
21,4,-0.09846659881475198
21,5,-0.8458667174649124
21,6,-0.8617299937287766
21,7,-0.26469919874364906
21,8,-2.685489311706782
21,9,-3.2329145311729524
22,0,-1.5313309502790502
22,1,-2.055919490367707
22,2,-2.551522581070691
22,3,-0.6870699492932703
22,4,-2.3162784428271097
22,5,-1.3948987949618459
22,6,-2.386192420188297
22,7,-0.66413961221987
22,8,-3.189963273143272
22,9,-1.3593613801358224
23,0,-1.1914866827114396
23,1,-0.5835272976320757
23,2,-1.9827660813158363
23,3,-0.30437163446561344
23,4,-0.7545204989732208
23,5,-1.8266150576982505
23,6,-0.21119788435426315
23,7,-1.4728929307210976
23,8,-0.3068647703957144
23,9,-0.07291015920126562
24,0,-2.4271681383870645
24,1,-2.684342336086459
24,2,-1.0844662458177958
24,3,-0.41608110011027877
24,4,-4.065510001497984
24,5,-2.399784393544388
24,6,-1.6489937057499966
24,7,-4.278771210023334
24,8,-2.54795516938463
24,9,-0.1415398420227863
25,0,-0.17928328649123285
25,1,-1.514905826966317
25,2,-3.9393462460402247
25,3,-0.3235500559599786
25,4,-0.6742268287535123
25,5,-1.5726535081698998
25,6,-0.585343510526665
25,7,-0.4561152355965394
25,8,-3.209576347100681
25,9,-2.498973890852275
26,0,-2.1187444902023636
26,1,-1.6983087367575513
26,2,-1.614606384080572
26,3,-4.814992450468681
26,4,-0.5935640820030513
26,5,-0.19088103723056457
26,6,-0.33644925748154686
26,7,-0.8796009972873571
26,8,-5.156934881754232
26,9,-2.912204304759661
27,0,-1.9762339581542987
27,1,-5.259002746801331
27,2,-0.07046821495000008
27,3,-2.629388474337731
27,4,-2.4139010750233165
27,5,-6.101994586159618
27,6,-4.125443531260732
27,7,-2.2484319202917833
27,8,-0.6724668625905545
27,9,-3.2018381742874014
28,0,-0.45424718518435775
28,1,-1.5839537246825968
28,2,-0.06411512267039227
28,3,-2.7163054401642794
28,4,-0.05173431964020195
28,5,-2.4253231507239406
28,6,-0.371380640741244
28,7,-1.3122151885548632
28,8,-0.21743220950887834
28,9,-1.474159931656257
29,0,-1.0655817268992016
29,1,-2.3410915711548417
