pid,epochs,episodes,frame_count,buffer_len,batch_size,train
1,10000,10,100,10000,1024,1 
2,5000,20,100,10000,1024,1 
3,10000,10,100,5000,1024,1 
4,5000,20,100,5000,1024,1 
5,10000,10,100,10000,1024,1 
6,5000,20,100,10000,1024,1 
7,10000,10,100,5000,1024,1 
8,5000,20,100,5000,1024,1 
9,10000,10,100,10000,1024,1 
10,5000,20,100,10000,1024,1 
11,10000,10,100,5000,1024,1 
12,5000,20,100,5000,1024,1 
13,10000,10,100,10000,1024,1 
14,5000,20,100,10000,1024,1 
15,10000,10,100,5000,1024,1 
16,5000,20,100,5000,1024,1 
17,10000,10,100,10000,1024,1 
18,5000,20,100,10000,1024,1 
19,10000,10,100,5000,1024,1 
20,5000,20,100,5000,1024,1 
21,10000,10,100,10000,1024,1 
22,5000,20,100,10000,1024,1 
23,10000,10,100,5000,1024,1 
24,5000,20,100,5000,1024,1 
